DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
21 , 8 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (784.658) [42000,72800] " , " (2.08333) [1,3] " , " (435.783) [50,455] " , " (1.5) [1,2] " , " (2179.53) [1000,4000] " , " (2.88) [0,7] " , " (2092.33) [2000,2350] " , " (1.66667) [1,2] " , " (29.613) [15,30] " , " (12.0083) [616,1008] " , " (2.73529) [2,4] " , " (2) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (150.476) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
22 , 11 , 88 , 125 , 143 , 211 , 283 , " (0) [0,1] " , " (3.56667) [3,4] " , " (1) [1,2] " , " (3.95) [3,4] " , " (1048.9) [42000,72800] " , " (2.57667) [1,3] " , " (448.075) [50,455] " , " (2) [1,2] " , " (3273.23) [1000,4000] " , " (1.96) [0,7] " , " (2169.96) [2000,2350] " , " (1.4) [1,2] " , " (28.3883) [15,30] " , " (11.9) [616,1008] " , " (2.66667) [2,4] " , " (1.75) [1,2] " , " (8.5) [8,9] " , " (1.65) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (151.538) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
23 , 24 , 99 , 117 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.66667) [1,2] " , " (3.3) [3,4] " , " (849.95) [42000,72800] " , " (1.70833) [1,3] " , " (228.85) [50,455] " , " (1.5) [1,2] " , " (2152.65) [1000,4000] " , " (6.94) [0,7] " , " (2271.78) [2000,2350] " , " (1.6) [1,2] " , " (27.2892) [15,30] " , " (12.325) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (220.438) [8400,44800] " , " (1.75) [1,2] " , " (1) [1,2] "
24 , 31 , 107 , 132 , 184 , 214 , 280 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (1162.6) [42000,72800] " , " (1.975) [1,3] " , " (269) [50,455] " , " (2) [1,2] " , " (3742.72) [1000,4000] " , " (3.86) [0,7] " , " (2211.35) [2000,2350] " , " (1.33333) [1,2] " , " (21.5345) [15,30] " , " (11.2) [616,1008] " , " (3.2) [2,4] " , " (1.03571) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (193.177) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
25 , 11 , 109 , 131 , 152 , 217 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.40476) [1,2] " , " (3.61667) [3,4] " , " (949.85) [42000,72800] " , " (2.62) [1,3] " , " (449.592) [50,455] " , " (1.33333) [1,2] " , " (2486.27) [1000,4000] " , " (4.86238) [0,7] " , " (2087.14) [2000,2350] " , " (1.33333) [1,2] " , " (23.3483) [15,30] " , " (12) [616,1008] " , " (2.33333) [2,4] " , " (1.25) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (142.767) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
26 , 66 , 95 , 121 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1) [1,2] " , " (3.1) [3,4] " , " (776.733) [42000,72800] " , " (2.31667) [1,3] " , " (216.608) [50,455] " , " (1.5) [1,2] " , " (2479.68) [1000,4000] " , " (2.08) [0,7] " , " (2075.33) [2000,2350] " , " (1.33333) [1,2] " , " (26.6566) [15,30] " , " (11.72) [616,1008] " , " (2.66) [2,4] " , " (1.23143) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.797) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
27 , 8 , 96 , 130 , 177 , 235 , 254 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.25) [3,4] " , " (1361.54) [42000,72800] " , " (2.83333) [1,3] " , " (411.917) [50,455] " , " (2) [1,2] " , " (1567.35) [1000,4000] " , " (4.1) [0,7] " , " (2052.69) [2000,2350] " , " (1.66667) [1,2] " , " (27.1264) [15,30] " , " (12.105) [616,1008] " , " (2.25196) [2,4] " , " (1.5) [1,2] " , " (8.85) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (237.659) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
28 , 20 , 84 , 134 , 180 , 198 , 295 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1149.91) [42000,72800] " , " (2.26667) [1,3] " , " (212.06) [50,455] " , " (1.5) [1,2] " , " (2756.74) [1000,4000] " , " (6.15) [0,7] " , " (2204.41) [2000,2350] " , " (1.66667) [1,2] " , " (25.5854) [15,30] " , " (11.6417) [616,1008] " , " (2.01961) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.5) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (129.477) [8400,44800] " , " (1.75) [1,2] " , " (1.76667) [1,2] "
29 , 18 , 99 , 118 , 156 , 218 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (990.057) [42000,72800] " , " (2.91667) [1,3] " , " (155.135) [50,455] " , " (2) [1,2] " , " (2160.03) [1000,4000] " , " (4.9) [0,7] " , " (2228.85) [2000,2350] " , " (1.6) [1,2] " , " (28.3433) [15,30] " , " (10.995) [616,1008] " , " (3) [2,4] " , " (1) [1,2] " , " (8.8) [8,9] " , " (1.85) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (260.572) [8400,44800] " , " (1.25) [1,2] " , " (1.76667) [1,2] "
30 , 11 , 110 , 128 , 175 , 227 , 260 , " (0.3) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (1116.45) [42000,72800] " , " (2.36667) [1,3] " , " (440.125) [50,455] " , " (1.5) [1,2] " , " (3733.16) [1000,4000] " , " (2.6) [0,7] " , " (2117.5) [2000,2350] " , " (1.33333) [1,2] " , " (20.2962) [15,30] " , " (14.8833) [616,1008] " , " (2.5) [2,4] " , " (1.03571) [1,2] " , " (9) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (155.485) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
31 , 20 , 95 , 119 , 177 , 235 , 243 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (1307.15) [42000,72800] " , " (2.9) [1,3] " , " (188.167) [50,455] " , " (2) [1,2] " , " (1914.33) [1000,4000] " , " (5.18) [0,7] " , " (2106.57) [2000,2350] " , " (2) [1,2] " , " (27.725) [15,30] " , " (10.9767) [616,1008] " , " (2) [2,4] " , " (2) [1,2] " , " (8.05) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.955) [8400,44800] " , " (1.5) [1,2] " , " (1.91667) [1,2] "
32 , 66 , 92 , 132 , 137 , 192 , 285 , " (0) [0,1] " , " (3.55) [3,4] " , " (1) [1,2] " , " (3.45) [3,4] " , " (953.185) [42000,72800] " , " (3) [1,3] " , " (321.695) [50,455] " , " (2) [1,2] " , " (2685.71) [1000,4000] " , " (2.25) [0,7] " , " (2307.15) [2000,2350] " , " (2) [1,2] " , " (28.6806) [15,30] " , " (11.965) [616,1008] " , " (2.17961) [2,4] " , " (1.94571) [1,2] " , " (8.55) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (135.311) [8400,44800] " , " (2) [1,2] " , " (1.95) [1,2] "
33 , 19 , 96 , 133 , 185 , 235 , 295 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.86667) [3,4] " , " (765.11) [42000,72800] " , " (2.96667) [1,3] " , " (450.217) [50,455] " , " (1) [1,2] " , " (2058.52) [1000,4000] " , " (5.34) [0,7] " , " (2066.83) [2000,2350] " , " (1) [1,2] " , " (29.9517) [15,30] " , " (11.12) [616,1008] " , " (2.76667) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (290.36) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
