DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
21 , 78 , 103 , 130 , 175 , 235 , 286 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (906.917) [42000,72800] " , " (2.11667) [1,3] " , " (186.967) [50,455] " , " (1.5) [1,2] " , " (3351.1) [1000,4000] " , " (2.5) [0,7] " , " (2055.62) [2000,2350] " , " (1) [1,2] " , " (22.8152) [15,30] " , " (10.2833) [616,1008] " , " (2.29314) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (101.182) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
22 , 8 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (784.658) [42000,72800] " , " (2.08333) [1,3] " , " (435.783) [50,455] " , " (1.5) [1,2] " , " (2179.53) [1000,4000] " , " (2.88) [0,7] " , " (2092.33) [2000,2350] " , " (1.66667) [1,2] " , " (29.613) [15,30] " , " (12.0083) [616,1008] " , " (2.73529) [2,4] " , " (2) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (150.476) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
23 , 57 , 92 , 126 , 151 , 192 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.26667) [3,4] " , " (928.81) [42000,72800] " , " (1.73667) [1,3] " , " (416.787) [50,455] " , " (2) [1,2] " , " (1942.65) [1000,4000] " , " (6.98) [0,7] " , " (2115.07) [2000,2350] " , " (1) [1,2] " , " (25.6007) [15,30] " , " (12.8833) [616,1008] " , " (3.78571) [2,4] " , " (1) [1,2] " , " (8.45) [8,9] " , " (1.4) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (279.508) [8400,44800] " , " (2) [1,2] " , " (1.2) [1,2] "
24 , 20 , 96 , 131 , 185 , 235 , 277 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.2) [3,4] " , " (638.207) [42000,72800] " , " (1.94333) [1,3] " , " (188.243) [50,455] " , " (1) [1,2] " , " (2196.2) [1000,4000] " , " (1.84) [0,7] " , " (2075.61) [2000,2350] " , " (1.33333) [1,2] " , " (29.3067) [15,30] " , " (10.2833) [616,1008] " , " (2.1) [2,4] " , " (2) [1,2] " , " (8.15) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (232.893) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
25 , 25 , 84 , 127 , 175 , 208 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1.91667) [1,2] " , " (3.66667) [3,4] " , " (931.283) [42000,72800] " , " (2.76667) [1,3] " , " (431.96) [50,455] " , " (1.5) [1,2] " , " (3755.96) [1000,4000] " , " (4.00833) [0,7] " , " (2235.05) [2000,2350] " , " (1.66667) [1,2] " , " (28.975) [15,30] " , " (12.5133) [616,1008] " , " (3.68333) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (83.5933) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
26 , 5 , 92 , 125 , 152 , 235 , 294 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.76667) [3,4] " , " (808.01) [42000,72800] " , " (2.58333) [1,3] " , " (267.537) [50,455] " , " (2) [1,2] " , " (2287.35) [1000,4000] " , " (4.26571) [0,7] " , " (2177.03) [2000,2350] " , " (1.66667) [1,2] " , " (26.4283) [15,30] " , " (14.0767) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (8.75) [8,9] " , " (1.1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (202.892) [8400,44800] " , " (2) [1,2] " , " (1.2) [1,2] "
27 , 66 , 113 , 121 , 185 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.66667) [1,2] " , " (3.55) [3,4] " , " (790.925) [42000,72800] " , " (2.63333) [1,3] " , " (269.21) [50,455] " , " (1.33333) [1,2] " , " (3115.17) [1000,4000] " , " (2.71) [0,7] " , " (2217.08) [2000,2350] " , " (1) [1,2] " , " (23.4433) [15,30] " , " (11.0877) [616,1008] " , " (2.59333) [2,4] " , " (1.23143) [1,2] " , " (8.59) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (110.841) [8400,44800] " , " (2) [1,2] " , " (1.85) [1,2] "
28 , 8 , 96 , 130 , 177 , 235 , 254 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.25) [3,4] " , " (1361.54) [42000,72800] " , " (2.83333) [1,3] " , " (411.917) [50,455] " , " (2) [1,2] " , " (1567.35) [1000,4000] " , " (4.1) [0,7] " , " (2052.69) [2000,2350] " , " (1.66667) [1,2] " , " (27.1264) [15,30] " , " (12.105) [616,1008] " , " (2.25196) [2,4] " , " (1.5) [1,2] " , " (8.85) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (237.659) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
29 , 11 , 88 , 125 , 143 , 230 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.95) [3,4] " , " (981.9) [42000,72800] " , " (2.57667) [1,3] " , " (438.825) [50,455] " , " (2) [1,2] " , " (3236.13) [1000,4000] " , " (2.56) [0,7] " , " (2143.78) [2000,2350] " , " (1.4) [1,2] " , " (29.4609) [15,30] " , " (11.8) [616,1008] " , " (2.62745) [2,4] " , " (1.75) [1,2] " , " (8) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (171.967) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
30 , 47 , 83 , 130 , 145 , 192 , 247 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.33333) [1,2] " , " (3.15) [3,4] " , " (697.967) [42000,72800] " , " (2.88333) [1,3] " , " (160.617) [50,455] " , " (1.33333) [1,2] " , " (3354.92) [1000,4000] " , " (2.71) [0,7] " , " (2102.42) [2000,2350] " , " (1.33333) [1,2] " , " (23.7233) [15,30] " , " (9.36) [616,1008] " , " (3.45) [2,4] " , " (1) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (141.74) [8400,44800] " , " (1.5) [1,2] " , " (2) [1,2] "
