DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
24 , 78 , 81 , 130 , 137 , 214 , 286 , " (0) [0,1] " , " (3) [3,4] " , " (1.5) [1,2] " , " (3.75) [3,4] " , " (678.117) [42000,72800] " , " (2.95) [1,3] " , " (299.592) [50,455] " , " (2) [1,2] " , " (3226.59) [1000,4000] " , " (4.7) [0,7] " , " (2151.55) [2000,2350] " , " (1) [1,2] " , " (23.2623) [15,30] " , " (8.17333) [616,1008] " , " (2.64608) [2,4] " , " (1) [1,2] " , " (8.2) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (116.751) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
25 , 18 , 99 , 135 , 156 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (916.657) [42000,72800] " , " (2.78333) [1,3] " , " (149.175) [50,455] " , " (2) [1,2] " , " (1974.13) [1000,4000] " , " (6.7) [0,7] " , " (2124.57) [2000,2350] " , " (1.6) [1,2] " , " (29.17) [15,30] " , " (11.59) [616,1008] " , " (2.33333) [2,4] " , " (1) [1,2] " , " (8.8) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (299.087) [8400,44800] " , " (1) [1,2] " , " (1.66667) [1,2] "
26 , 66 , 113 , 121 , 185 , 192 , 248 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1) [1,2] " , " (3.55) [3,4] " , " (826) [42000,72800] " , " (2.33333) [1,3] " , " (258.585) [50,455] " , " (1.33333) [1,2] " , " (3039.58) [1000,4000] " , " (2.41) [0,7] " , " (2158.72) [2000,2350] " , " (1) [1,2] " , " (23.2133) [15,30] " , " (10.9327) [616,1008] " , " (2.59333) [2,4] " , " (1.23143) [1,2] " , " (8.69) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (110.641) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
27 , 11 , 107 , 126 , 151 , 234 , 275 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.76667) [3,4] " , " (775.4) [42000,72800] " , " (2.10333) [1,3] " , " (445.292) [50,455] " , " (2) [1,2] " , " (2863.84) [1000,4000] " , " (5.74) [0,7] " , " (2123.9) [2000,2350] " , " (1) [1,2] " , " (29.7908) [15,30] " , " (12.0667) [616,1008] " , " (3.625) [2,4] " , " (1.75) [1,2] " , " (8.7) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (202.738) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
28 , 31 , 95 , 125 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1174.08) [42000,72800] " , " (2.95833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3235.14) [1000,4000] " , " (2.68) [0,7] " , " (2171.68) [2000,2350] " , " (2) [1,2] " , " (22.3517) [15,30] " , " (11.5217) [616,1008] " , " (3.7) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (291.916) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
29 , 20 , 84 , 119 , 160 , 211 , 267 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3) [3,4] " , " (1169.1) [42000,72800] " , " (2.86667) [1,3] " , " (214.608) [50,455] " , " (2) [1,2] " , " (3523.51) [1000,4000] " , " (2.3) [0,7] " , " (2283.43) [2000,2350] " , " (1.5) [1,2] " , " (27.905) [15,30] " , " (12.095) [616,1008] " , " (2.75) [2,4] " , " (2) [1,2] " , " (8.9) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (170.555) [8400,44800] " , " (2) [1,2] " , " (1.91667) [1,2] "
30 , 29 , 96 , 134 , 152 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (787.425) [42000,72800] " , " (2.71667) [1,3] " , " (453.157) [50,455] " , " (1.6) [1,2] " , " (3226.58) [1000,4000] " , " (3.85571) [0,7] " , " (2127.75) [2000,2350] " , " (1.66667) [1,2] " , " (26.2133) [15,30] " , " (31.7517) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (197.688) [8400,44800] " , " (2) [1,2] " , " (1.75) [1,2] "
31 , 11 , 88 , 133 , 143 , 207 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1.5) [1,2] " , " (3.95) [3,4] " , " (1132.25) [42000,72800] " , " (2.57667) [1,3] " , " (453.325) [50,455] " , " (2) [1,2] " , " (3591.02) [1000,4000] " , " (2.21) [0,7] " , " (2191.06) [2000,2350] " , " (1.4) [1,2] " , " (27.9583) [15,30] " , " (13.3) [616,1008] " , " (2.16667) [2,4] " , " (1.75) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (176.658) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
32 , 66 , 110 , 131 , 153 , 198 , 259 , " (0.3) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (1091.63) [42000,72800] " , " (2.82667) [1,3] " , " (288.41) [50,455] " , " (1.5) [1,2] " , " (3589.17) [1000,4000] " , " (4.8) [0,7] " , " (2321.13) [2000,2350] " , " (1.33333) [1,2] " , " (27.7868) [15,30] " , " (14.9733) [616,1008] " , " (2.51294) [2,4] " , " (1.73143) [1,2] " , " (8.6) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (257.844) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
33 , 8 , 95 , 128 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (781.283) [42000,72800] " , " (2.6) [1,3] " , " (416.283) [50,455] " , " (1.5) [1,2] " , " (2113.93) [1000,4000] " , " (2.18) [0,7] " , " (2032.51) [2000,2350] " , " (1.66667) [1,2] " , " (28.5392) [15,30] " , " (11.7833) [616,1008] " , " (2.73529) [2,4] " , " (1.78571) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (177.598) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
