DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
21 , 31 , 96 , 133 , 145 , 235 , 267 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3) [3,4] " , " (1199.1) [42000,72800] " , " (2.525) [1,3] " , " (176.875) [50,455] " , " (1) [1,2] " , " (3154.78) [1000,4000] " , " (2.1) [0,7] " , " (2153.53) [2000,2350] " , " (1.16667) [1,2] " , " (23.2783) [15,30] " , " (11.8167) [616,1008] " , " (3.2) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (338.659) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
22 , 25 , 95 , 117 , 175 , 192 , 260 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1.33333) [1,2] " , " (3.9) [3,4] " , " (873.167) [42000,72800] " , " (2.11667) [1,3] " , " (436.617) [50,455] " , " (1.5) [1,2] " , " (2718.05) [1000,4000] " , " (3.12) [0,7] " , " (2108.88) [2000,2350] " , " (2) [1,2] " , " (25.665) [15,30] " , " (12.8833) [616,1008] " , " (3.51667) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (148.01) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
23 , 20 , 84 , 132 , 181 , 218 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (1243.03) [42000,72800] " , " (1.73333) [1,3] " , " (225.835) [50,455] " , " (1.5) [1,2] " , " (3125.87) [1000,4000] " , " (6.8) [0,7] " , " (2302.5) [2000,2350] " , " (1.66667) [1,2] " , " (23.9195) [15,30] " , " (10.5917) [616,1008] " , " (2.5) [2,4] " , " (1.78571) [1,2] " , " (8.9) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (82.1483) [8400,44800] " , " (1.75) [1,2] " , " (1.76667) [1,2] "
24 , 11 , 107 , 131 , 184 , 188 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (821.6) [42000,72800] " , " (1.36) [1,3] " , " (438.525) [50,455] " , " (2) [1,2] " , " (3010.08) [1000,4000] " , " (3) [0,7] " , " (2030.83) [2000,2350] " , " (1.66667) [1,2] " , " (20.7467) [15,30] " , " (11.3333) [616,1008] " , " (2.7) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (82.33) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
25 , 66 , 96 , 122 , 137 , 192 , 272 , " (0) [0,1] " , " (3) [3,4] " , " (1) [1,2] " , " (3.75) [3,4] " , " (688.2) [42000,72800] " , " (2.51667) [1,3] " , " (243.675) [50,455] " , " (1.66667) [1,2] " , " (3287.96) [1000,4000] " , " (2.3) [0,7] " , " (2185.81) [2000,2350] " , " (1.6) [1,2] " , " (27.2194) [15,30] " , " (9.80333) [616,1008] " , " (2.01294) [2,4] " , " (1.66) [1,2] " , " (8.4) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (196.866) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
26 , 57 , 99 , 130 , 156 , 214 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.25) [3,4] " , " (785.967) [42000,72800] " , " (2.46667) [1,3] " , " (291.117) [50,455] " , " (2) [1,2] " , " (2049.5) [1000,4000] " , " (4.7) [0,7] " , " (2129.89) [2000,2350] " , " (1.93333) [1,2] " , " (26.9757) [15,30] " , " (12.35) [616,1008] " , " (3.61905) [2,4] " , " (1) [1,2] " , " (8) [8,9] " , " (1) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (343.535) [8400,44800] " , " (1) [1,2] " , " (1) [1,2] "
27 , 18 , 84 , 129 , 149 , 235 , 267 , " (0) [0,1] " , " (4) [3,4] " , " (2) [1,2] " , " (4) [3,4] " , " (1004.4) [42000,72800] " , " (2.1) [1,3] " , " (178.026) [50,455] " , " (1.71429) [1,2] " , " (3570.82) [1000,4000] " , " (2.5) [0,7] " , " (2191) [2000,2350] " , " (1.5) [1,2] " , " (24.0333) [15,30] " , " (13.6186) [616,1008] " , " (2) [2,4] " , " (1.5) [1,2] " , " (8.8) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (129.127) [8400,44800] " , " (2) [1,2] " , " (1.66667) [1,2] "
28 , 31 , 95 , 118 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1173.18) [42000,72800] " , " (2.85833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3468.21) [1000,4000] " , " (2.68) [0,7] " , " (2171.78) [2000,2350] " , " (2) [1,2] " , " (22.7717) [15,30] " , " (11.9217) [616,1008] " , " (3.7) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (290.196) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
29 , 66 , 113 , 121 , 185 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.66667) [1,2] " , " (3.55) [3,4] " , " (790.925) [42000,72800] " , " (2.63333) [1,3] " , " (269.21) [50,455] " , " (1.33333) [1,2] " , " (3115.17) [1000,4000] " , " (2.71) [0,7] " , " (2217.08) [2000,2350] " , " (1) [1,2] " , " (23.4433) [15,30] " , " (11.0877) [616,1008] " , " (2.59333) [2,4] " , " (1.23143) [1,2] " , " (8.59) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (110.841) [8400,44800] " , " (2) [1,2] " , " (1.85) [1,2] "
30 , 11 , 88 , 134 , 143 , 231 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1) [1,2] " , " (3.95) [3,4] " , " (901.867) [42000,72800] " , " (2.67667) [1,3] " , " (430.125) [50,455] " , " (2) [1,2] " , " (3227.3) [1000,4000] " , " (1.96) [0,7] " , " (2088.26) [2000,2350] " , " (1.4) [1,2] " , " (29.5617) [15,30] " , " (11.9667) [616,1008] " , " (3.16667) [2,4] " , " (1.75) [1,2] " , " (8.33333) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (165.808) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
31 , 57 , 92 , 133 , 151 , 235 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.26667) [3,4] " , " (905.01) [42000,72800] " , " (1.32) [1,3] " , " (419.272) [50,455] " , " (2) [1,2] " , " (2122.48) [1000,4000] " , " (3.98) [0,7] " , " (2120.3) [2000,2350] " , " (1) [1,2] " , " (24.114) [15,30] " , " (12.0233) [616,1008] " , " (3.95238) [2,4] " , " (1) [1,2] " , " (8.25) [8,9] " , " (1.35) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (158.673) [8400,44800] " , " (2) [1,2] " , " (1.3) [1,2] "
