DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
21 , 66 , 96 , 118 , 151 , 192 , 272 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (703) [42000,72800] " , " (1.80333) [1,3] " , " (232.075) [50,455] " , " (1) [1,2] " , " (2565.08) [1000,4000] " , " (2.2) [0,7] " , " (2159.56) [2000,2350] " , " (1.6) [1,2] " , " (27.3473) [15,30] " , " (11.37) [616,1008] " , " (2.16) [2,4] " , " (1.66) [1,2] " , " (8.4) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (183.207) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
22 , 57 , 92 , 125 , 151 , 235 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.26667) [3,4] " , " (905.01) [42000,72800] " , " (1.32) [1,3] " , " (419.272) [50,455] " , " (2) [1,2] " , " (1890.21) [1000,4000] " , " (3.98) [0,7] " , " (2121.4) [2000,2350] " , " (1) [1,2] " , " (24.144) [15,30] " , " (12.0233) [616,1008] " , " (3.95238) [2,4] " , " (1) [1,2] " , " (8.25) [8,9] " , " (1.35) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (165.653) [8400,44800] " , " (2) [1,2] " , " (1.3) [1,2] "
23 , 5 , 92 , 125 , 152 , 235 , 294 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.76667) [3,4] " , " (808.01) [42000,72800] " , " (2.58333) [1,3] " , " (267.537) [50,455] " , " (2) [1,2] " , " (2287.35) [1000,4000] " , " (4.26571) [0,7] " , " (2177.03) [2000,2350] " , " (1.66667) [1,2] " , " (26.4283) [15,30] " , " (14.0767) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (8.75) [8,9] " , " (1.1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (202.892) [8400,44800] " , " (2) [1,2] " , " (1.2) [1,2] "
24 , 31 , 107 , 129 , 184 , 214 , 280 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (1189.9) [42000,72800] " , " (1.69167) [1,3] " , " (269) [50,455] " , " (2) [1,2] " , " (3972.73) [1000,4000] " , " (3.86) [0,7] " , " (2221.9) [2000,2350] " , " (1.33333) [1,2] " , " (23.015) [15,30] " , " (11.3) [616,1008] " , " (3.2) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (187.229) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
25 , 24 , 99 , 117 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.66667) [1,2] " , " (3.3) [3,4] " , " (849.95) [42000,72800] " , " (1.70833) [1,3] " , " (228.85) [50,455] " , " (1.5) [1,2] " , " (2152.65) [1000,4000] " , " (6.94) [0,7] " , " (2271.78) [2000,2350] " , " (1.6) [1,2] " , " (27.2892) [15,30] " , " (12.325) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (220.438) [8400,44800] " , " (1.75) [1,2] " , " (1) [1,2] "
26 , 31 , 88 , 129 , 145 , 235 , 259 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.45) [3,4] " , " (1157) [42000,72800] " , " (2.44167) [1,3] " , " (162.025) [50,455] " , " (1.5) [1,2] " , " (3630.2) [1000,4000] " , " (2.46) [0,7] " , " (2278.25) [2000,2350] " , " (1.06667) [1,2] " , " (27.1817) [15,30] " , " (11.8067) [616,1008] " , " (3.2) [2,4] " , " (1.5) [1,2] " , " (8.7) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (358.571) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
27 , 78 , 83 , 130 , 145 , 235 , 288 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.3) [3,4] " , " (732.71) [42000,72800] " , " (3) [1,3] " , " (149.81) [50,455] " , " (1.71429) [1,2] " , " (2962.38) [1000,4000] " , " (3.49) [0,7] " , " (2012.89) [2000,2350] " , " (1) [1,2] " , " (23.7769) [15,30] " , " (6.5619) [616,1008] " , " (2.49314) [2,4] " , " (1) [1,2] " , " (8) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (114.77) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
28 , 72 , 86 , 124 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.9) [3,4] " , " (782.38) [42000,72800] " , " (2.75) [1,3] " , " (226.225) [50,455] " , " (1.5) [1,2] " , " (2865.63) [1000,4000] " , " (5.22) [0,7] " , " (2189.23) [2000,2350] " , " (2) [1,2] " , " (25.9573) [15,30] " , " (10.405) [616,1008] " , " (2.66) [2,4] " , " (1) [1,2] " , " (8.1) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (241.257) [8400,44800] " , " (1.25) [1,2] " , " (1) [1,2] "
29 , 66 , 96 , 135 , 137 , 235 , 254 , " (0) [0,1] " , " (3) [3,4] " , " (1.66667) [1,2] " , " (3.66667) [3,4] " , " (913.65) [42000,72800] " , " (2.51667) [1,3] " , " (260.767) [50,455] " , " (2) [1,2] " , " (2445.12) [1000,4000] " , " (6.6) [0,7] " , " (2197.09) [2000,2350] " , " (1) [1,2] " , " (29.2777) [15,30] " , " (11.11) [616,1008] " , " (2.52961) [2,4] " , " (1.66) [1,2] " , " (8.6) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (183.704) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
30 , 17 , 87 , 117 , 149 , 214 , 260 , " (0) [0,1] " , " (3.05) [3,4] " , " (2) [1,2] " , " (3.25) [3,4] " , " (745.853) [42000,72800] " , " (2.85) [1,3] " , " (445.193) [50,455] " , " (1.71429) [1,2] " , " (3107.01) [1000,4000] " , " (4.68) [0,7] " , " (2165.82) [2000,2350] " , " (1.73333) [1,2] " , " (26.3937) [15,30] " , " (12.8119) [616,1008] " , " (3.23627) [2,4] " , " (1) [1,2] " , " (8.7) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (121.119) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
31 , 31 , 107 , 131 , 184 , 214 , 280 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (1189.9) [42000,72800] " , " (1.70167) [1,3] " , " (269) [50,455] " , " (2) [1,2] " , " (3972.63) [1000,4000] " , " (3.86) [0,7] " , " (2221.13) [2000,2350] " , " (1.33333) [1,2] " , " (23.015) [15,30] " , " (11.3) [616,1008] " , " (3.2) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (187.229) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
32 , 29 , 96 , 132 , 152 , 235 , 248 , " (0) [0,1] " , " (3.21667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (781.45) [42000,72800] " , " (2.21667) [1,3] " , " (439.057) [50,455] " , " (1.6) [1,2] " , " (3144.84) [1000,4000] " , " (3.85571) [0,7] " , " (2083.03) [2000,2350] " , " (1.66667) [1,2] " , " (27.6662) [15,30] " , " (31.6967) [616,1008] " , " (2.83333) [2,4] " , " (1.78571) [1,2] " , " (8) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (183.168) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
33 , 11 , 107 , 119 , 160 , 226 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (881.575) [42000,72800] " , " (2.61667) [1,3] " , " (437.225) [50,455] " , " (2) [1,2] " , " (3064.61) [1000,4000] " , " (5.2) [0,7] " , " (2027.75) [2000,2350] " , " (1) [1,2] " , " (25.8367) [15,30] " , " (11.8917) [616,1008] " , " (3.08333) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (176.497) [8400,44800] " , " (1.5) [1,2] " , " (1.75) [1,2] "
34 , 11 , 105 , 124 , 151 , 235 , 277 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3) [3,4] " , " (706.63) [42000,72800] " , " (2.89667) [1,3] " , " (445.46) [50,455] " , " (1) [1,2] " , " (2982.91) [1000,4000] " , " (1.7) [0,7] " , " (2043.52) [2000,2350] " , " (2) [1,2] " , " (27.035) [15,30] " , " (10.53) [616,1008] " , " (2) [2,4] " , " (1.75) [1,2] " , " (8.25) [8,9] " , " (1.2) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (168.665) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
35 , 11 , 88 , 133 , 143 , 230 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.95) [3,4] " , " (981.9) [42000,72800] " , " (2.57667) [1,3] " , " (438.825) [50,455] " , " (2) [1,2] " , " (3468.4) [1000,4000] " , " (2.56) [0,7] " , " (2142.68) [2000,2350] " , " (1.4) [1,2] " , " (29.4309) [15,30] " , " (11.8) [616,1008] " , " (2.62745) [2,4] " , " (1.75) [1,2] " , " (8) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (164.987) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
36 , 66 , 95 , 121 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1.66667) [1,2] " , " (3.1) [3,4] " , " (738.683) [42000,72800] " , " (2.31667) [1,3] " , " (213.133) [50,455] " , " (1.5) [1,2] " , " (2470.95) [1000,4000] " , " (2.38) [0,7] " , " (2090.39) [2000,2350] " , " (1.33333) [1,2] " , " (26.6566) [15,30] " , " (11.72) [616,1008] " , " (2.66) [2,4] " , " (1.23143) [1,2] " , " (8.9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.797) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
37 , 11 , 107 , 124 , 137 , 235 , 275 , " (0) [0,1] " , " (4) [3,4] " , " (1) [1,2] " , " (3.35) [3,4] " , " (833.15) [42000,72800] " , " (2.8) [1,3] " , " (428.05) [50,455] " , " (2) [1,2] " , " (3096.66) [1000,4000] " , " (1.84) [0,7] " , " (2097.79) [2000,2350] " , " (1) [1,2] " , " (28.4071) [15,30] " , " (10.5267) [616,1008] " , " (2.35294) [2,4] " , " (1.75) [1,2] " , " (8.5) [8,9] " , " (1.3) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (159.946) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
38 , 20 , 95 , 119 , 177 , 235 , 243 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (1307.15) [42000,72800] " , " (2.9) [1,3] " , " (188.167) [50,455] " , " (2) [1,2] " , " (1914.33) [1000,4000] " , " (5.18) [0,7] " , " (2106.57) [2000,2350] " , " (2) [1,2] " , " (27.725) [15,30] " , " (10.9767) [616,1008] " , " (2) [2,4] " , " (2) [1,2] " , " (8.05) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.955) [8400,44800] " , " (1.5) [1,2] " , " (1.91667) [1,2] "
