DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
26 , 11 , 105 , 129 , 152 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.16667) [3,4] " , " (950.8) [42000,72800] " , " (1.91) [1,3] " , " (440.492) [50,455] " , " (1) [1,2] " , " (2656.63) [1000,4000] " , " (4.28571) [0,7] " , " (2067.03) [2000,2350] " , " (1.33333) [1,2] " , " (21.4183) [15,30] " , " (10.9333) [616,1008] " , " (2.66667) [2,4] " , " (1.25) [1,2] " , " (9) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (106.185) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
27 , 66 , 86 , 121 , 184 , 192 , 247 , " (0) [0,1] " , " (3.71667) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (884) [42000,72800] " , " (2.63333) [1,3] " , " (253.175) [50,455] " , " (2) [1,2] " , " (3171.26) [1000,4000] " , " (2.99) [0,7] " , " (2221.29) [2000,2350] " , " (1.66667) [1,2] " , " (24.8233) [15,30] " , " (11.7967) [616,1008] " , " (2.11) [2,4] " , " (1.23143) [1,2] " , " (8.8) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (175.57) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
28 , 18 , 84 , 128 , 149 , 235 , 267 , " (0) [0,1] " , " (4) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (975) [42000,72800] " , " (2.7) [1,3] " , " (178.026) [50,455] " , " (1.71429) [1,2] " , " (3610.78) [1000,4000] " , " (2.1) [0,7] " , " (2107.19) [2000,2350] " , " (1.5) [1,2] " , " (22.7762) [15,30] " , " (13.2186) [616,1008] " , " (2) [2,4] " , " (1.28571) [1,2] " , " (8.3) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (157.657) [8400,44800] " , " (2) [1,2] " , " (1.66667) [1,2] "
29 , 20 , 113 , 120 , 163 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.41667) [3,4] " , " (938.19) [42000,72800] " , " (2.42667) [1,3] " , " (194.985) [50,455] " , " (2) [1,2] " , " (2305.35) [1000,4000] " , " (4.6) [0,7] " , " (2224.95) [2000,2350] " , " (1) [1,2] " , " (27.1355) [15,30] " , " (13.5393) [616,1008] " , " (3.29167) [2,4] " , " (1.5) [1,2] " , " (8.82333) [8,9] " , " (1.75) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (158.406) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
30 , 4 , 95 , 117 , 175 , 227 , 286 , " (0) [0,1] " , " (3) [3,4] " , " (1.66667) [1,2] " , " (3.9) [3,4] " , " (734.283) [42000,72800] " , " (2.43333) [1,3] " , " (266.733) [50,455] " , " (1.5) [1,2] " , " (3156.8) [1000,4000] " , " (5.42) [0,7] " , " (2180.33) [2000,2350] " , " (1.33333) [1,2] " , " (27.635) [15,30] " , " (12.15) [616,1008] " , " (2.66667) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (134.542) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
31 , 8 , 96 , 130 , 177 , 235 , 254 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.25) [3,4] " , " (1361.54) [42000,72800] " , " (2.83333) [1,3] " , " (411.917) [50,455] " , " (2) [1,2] " , " (1567.35) [1000,4000] " , " (4.1) [0,7] " , " (2052.69) [2000,2350] " , " (1.66667) [1,2] " , " (27.1264) [15,30] " , " (12.105) [616,1008] " , " (2.25196) [2,4] " , " (1.5) [1,2] " , " (8.85) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (237.659) [8400,44800] " , " (1.25) [1,2] " , " (1.5) [1,2] "
32 , 11 , 111 , 132 , 163 , 221 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.66667) [3,4] " , " (1149.7) [42000,72800] " , " (2.5) [1,3] " , " (447.292) [50,455] " , " (1) [1,2] " , " (2377.43) [1000,4000] " , " (5.2) [0,7] " , " (2140.59) [2000,2350] " , " (1) [1,2] " , " (23.7137) [15,30] " , " (13.9) [616,1008] " , " (3.625) [2,4] " , " (1.03571) [1,2] " , " (8.5) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (259.374) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
33 , 25 , 84 , 127 , 175 , 208 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1.91667) [1,2] " , " (3.66667) [3,4] " , " (931.283) [42000,72800] " , " (2.76667) [1,3] " , " (431.96) [50,455] " , " (1.5) [1,2] " , " (3755.96) [1000,4000] " , " (4.00833) [0,7] " , " (2235.05) [2000,2350] " , " (1.66667) [1,2] " , " (28.975) [15,30] " , " (12.5133) [616,1008] " , " (3.68333) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (83.5933) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
34 , 60 , 88 , 121 , 180 , 234 , 280 , " (1) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [42000,72800] " , " (2.45) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3192.36) [1000,4000] " , " (4.42) [0,7] " , " (2197.77) [2000,2350] " , " (1.06667) [1,2] " , " (23.6485) [15,30] " , " (11.0417) [616,1008] " , " (2.125) [2,4] " , " (1.32143) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (152.778) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
35 , 66 , 92 , 131 , 185 , 235 , 295 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.66667) [1,2] " , " (3.46667) [3,4] " , " (912.26) [42000,72800] " , " (2.52667) [1,3] " , " (330.487) [50,455] " , " (2) [1,2] " , " (2881.17) [1000,4000] " , " (5.17) [0,7] " , " (2202.83) [2000,2350] " , " (1.66667) [1,2] " , " (25.974) [15,30] " , " (11.8467) [616,1008] " , " (3.09333) [2,4] " , " (1.16) [1,2] " , " (8.15) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (201.11) [8400,44800] " , " (2) [1,2] " , " (1.7) [1,2] "
