DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
21 , 24 , 99 , 117 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.66667) [1,2] " , " (3.3) [3,4] " , " (849.95) [42000,72800] " , " (1.70833) [1,3] " , " (228.85) [50,455] " , " (1.5) [1,2] " , " (2152.65) [1000,4000] " , " (6.94) [0,7] " , " (2271.78) [2000,2350] " , " (1.6) [1,2] " , " (27.2892) [15,30] " , " (12.325) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (220.438) [8400,44800] " , " (1.75) [1,2] " , " (1) [1,2] "
22 , 57 , 92 , 118 , 151 , 235 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.26667) [3,4] " , " (904.11) [42000,72800] " , " (1.22) [1,3] " , " (419.272) [50,455] " , " (2) [1,2] " , " (2123.28) [1000,4000] " , " (3.98) [0,7] " , " (2121.5) [2000,2350] " , " (1) [1,2] " , " (24.564) [15,30] " , " (12.4233) [616,1008] " , " (3.95238) [2,4] " , " (1) [1,2] " , " (8.25) [8,9] " , " (1.35) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (163.933) [8400,44800] " , " (2) [1,2] " , " (1.3) [1,2] "
23 , 18 , 99 , 135 , 156 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (916.657) [42000,72800] " , " (2.78333) [1,3] " , " (149.175) [50,455] " , " (2) [1,2] " , " (1974.13) [1000,4000] " , " (6.7) [0,7] " , " (2124.57) [2000,2350] " , " (1.6) [1,2] " , " (29.17) [15,30] " , " (11.59) [616,1008] " , " (2.33333) [2,4] " , " (1) [1,2] " , " (8.8) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (299.087) [8400,44800] " , " (1) [1,2] " , " (1.66667) [1,2] "
24 , 43 , 94 , 121 , 145 , 235 , 267 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (4) [3,4] " , " (937.617) [42000,72800] " , " (2.91667) [1,3] " , " (161.233) [50,455] " , " (1.33333) [1,2] " , " (3193.1) [1000,4000] " , " (2.7) [0,7] " , " (2067.47) [2000,2350] " , " (1.16667) [1,2] " , " (29.0415) [15,30] " , " (10.6333) [616,1008] " , " (2.22941) [2,4] " , " (1.57143) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (265.695) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
25 , 11 , 107 , 132 , 184 , 210 , 283 , " (0) [0,1] " , " (3.56667) [3,4] " , " (1.14286) [1,2] " , " (3.5) [3,4] " , " (935.375) [42000,72800] " , " (1.63333) [1,3] " , " (454.775) [50,455] " , " (2) [1,2] " , " (2708.6) [1000,4000] " , " (2.17143) [0,7] " , " (2071.45) [2000,2350] " , " (1.66667) [1,2] " , " (23.7726) [15,30] " , " (11.3833) [616,1008] " , " (3.10196) [2,4] " , " (1.03571) [1,2] " , " (8.25) [8,9] " , " (1.55) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (117.224) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
26 , 66 , 96 , 131 , 185 , 192 , 272 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (720.3) [42000,72800] " , " (1.84333) [1,3] " , " (254.875) [50,455] " , " (1) [1,2] " , " (2808.78) [1000,4000] " , " (2.34) [0,7] " , " (2109.93) [2000,2350] " , " (1.6) [1,2] " , " (21.9507) [15,30] " , " (9.87) [616,1008] " , " (2.26) [2,4] " , " (1.16) [1,2] " , " (8.4) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (187.448) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
27 , 78 , 81 , 130 , 137 , 214 , 286 , " (0) [0,1] " , " (3) [3,4] " , " (1.5) [1,2] " , " (3.75) [3,4] " , " (678.117) [42000,72800] " , " (2.95) [1,3] " , " (299.592) [50,455] " , " (2) [1,2] " , " (3226.59) [1000,4000] " , " (4.7) [0,7] " , " (2151.55) [2000,2350] " , " (1) [1,2] " , " (23.2623) [15,30] " , " (8.17333) [616,1008] " , " (2.64608) [2,4] " , " (1) [1,2] " , " (8.2) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (116.751) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
28 , 29 , 96 , 134 , 152 , 235 , 248 , " (0) [0,1] " , " (3.21667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (784.45) [42000,72800] " , " (2.41667) [1,3] " , " (439.057) [50,455] " , " (1.6) [1,2] " , " (3142.26) [1000,4000] " , " (3.85571) [0,7] " , " (2084.45) [2000,2350] " , " (1.66667) [1,2] " , " (25.9833) [15,30] " , " (31.5967) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (197.488) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
29 , 60 , 88 , 128 , 180 , 234 , 280 , " (1) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [42000,72800] " , " (2.71667) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3231.62) [1000,4000] " , " (4.42) [0,7] " , " (2167.83) [2000,2350] " , " (1.06667) [1,2] " , " (19.6804) [15,30] " , " (11.0417) [616,1008] " , " (2.125) [2,4] " , " (1.03571) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (173.74) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
30 , 31 , 95 , 129 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1198.38) [42000,72800] " , " (2.575) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3467.61) [1000,4000] " , " (2.68) [0,7] " , " (2182.62) [2000,2350] " , " (2) [1,2] " , " (25.655) [15,30] " , " (11.7217) [616,1008] " , " (3.7) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (274.017) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
31 , 8 , 84 , 119 , 175 , 192 , 289 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.66667) [1,2] " , " (4) [3,4] " , " (1089.53) [42000,72800] " , " (2.63333) [1,3] " , " (437.175) [50,455] " , " (1.5) [1,2] " , " (3771.12) [1000,4000] " , " (2.7) [0,7] " , " (2191.76) [2000,2350] " , " (1.37333) [1,2] " , " (27.243) [15,30] " , " (14.0583) [616,1008] " , " (2.73529) [2,4] " , " (2) [1,2] " , " (8) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (146.416) [8400,44800] " , " (2) [1,2] " , " (1.75) [1,2] "
32 , 19 , 96 , 133 , 185 , 235 , 295 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.86667) [3,4] " , " (765.11) [42000,72800] " , " (2.96667) [1,3] " , " (450.217) [50,455] " , " (1) [1,2] " , " (2058.52) [1000,4000] " , " (5.34) [0,7] " , " (2066.83) [2000,2350] " , " (1) [1,2] " , " (29.9517) [15,30] " , " (11.12) [616,1008] " , " (2.76667) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (290.36) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
33 , 18 , 84 , 125 , 156 , 227 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1095.21) [42000,72800] " , " (2.75833) [1,3] " , " (186.285) [50,455] " , " (2) [1,2] " , " (3291.03) [1000,4000] " , " (3.2) [0,7] " , " (2175.98) [2000,2350] " , " (1) [1,2] " , " (27.2675) [15,30] " , " (11.22) [616,1008] " , " (3.16667) [2,4] " , " (1) [1,2] " , " (8.3) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (173.377) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
34 , 57 , 99 , 117 , 149 , 192 , 260 , " (0) [0,1] " , " (3) [3,4] " , " (1.33333) [1,2] " , " (3.3) [3,4] " , " (755.943) [42000,72800] " , " (2.30833) [1,3] " , " (318.243) [50,455] " , " (1.71429) [1,2] " , " (2065.25) [1000,4000] " , " (2.84) [0,7] " , " (2123.92) [2000,2350] " , " (1.6) [1,2] " , " (24.2615) [15,30] " , " (12.0619) [616,1008] " , " (3.11905) [2,4] " , " (1) [1,2] " , " (8.5) [8,9] " , " (1.4) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (231.507) [8400,44800] " , " (1.5) [1,2] " , " (1) [1,2] "
35 , 11 , 107 , 126 , 151 , 234 , 275 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.76667) [3,4] " , " (775.4) [42000,72800] " , " (2.10333) [1,3] " , " (445.292) [50,455] " , " (2) [1,2] " , " (2863.84) [1000,4000] " , " (5.74) [0,7] " , " (2123.9) [2000,2350] " , " (1) [1,2] " , " (29.7908) [15,30] " , " (12.0667) [616,1008] " , " (3.625) [2,4] " , " (1.75) [1,2] " , " (8.7) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (202.738) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
36 , 5 , 92 , 132 , 152 , 235 , 294 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.76667) [3,4] " , " (805.01) [42000,72800] " , " (2.48333) [1,3] " , " (267.537) [50,455] " , " (2) [1,2] " , " (2289.8) [1000,4000] " , " (4.26571) [0,7] " , " (2177.41) [2000,2350] " , " (1.66667) [1,2] " , " (28.2512) [15,30] " , " (14.1767) [616,1008] " , " (3) [2,4] " , " (1.78571) [1,2] " , " (8.25) [8,9] " , " (1.1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (190.942) [8400,44800] " , " (2) [1,2] " , " (1.2) [1,2] "
37 , 78 , 85 , 121 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.65) [3,4] " , " (1278.45) [42000,72800] " , " (2.66667) [1,3] " , " (124.225) [50,455] " , " (1.66667) [1,2] " , " (2570.15) [1000,4000] " , " (3.59692) [0,7] " , " (2110.07) [2000,2350] " , " (1.26667) [1,2] " , " (28.2578) [15,30] " , " (8.16) [616,1008] " , " (2.09314) [2,4] " , " (1.57143) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.669) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
38 , 66 , 96 , 122 , 137 , 192 , 272 , " (0) [0,1] " , " (3) [3,4] " , " (1) [1,2] " , " (3.75) [3,4] " , " (688.2) [42000,72800] " , " (2.51667) [1,3] " , " (243.675) [50,455] " , " (1.66667) [1,2] " , " (3287.96) [1000,4000] " , " (2.3) [0,7] " , " (2185.81) [2000,2350] " , " (1.6) [1,2] " , " (27.2194) [15,30] " , " (9.80333) [616,1008] " , " (2.01294) [2,4] " , " (1.66) [1,2] " , " (8.4) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (196.866) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
